signal_time,entry_time,exit_time,direction,signal_move_percentile,entry_price,exit_price,atr_at_entry,stop_price,exit_reason,holding_hours,gross_pnl_pct,funding_pnl_pct,cost_pct,net_pnl_pct
2024-10-17 22:00:00+00:00,2024-10-17 23:00:00+00:00,2024-10-18 06:00:00+00:00,short,0.8541666666666666,67427.7,68293.42313112532,432.8615655626639,68293.42313112532,stop,7,-0.012839280164165873,0.0,0.0022,-0.015039280164165874
2024-10-18 13:00:00+00:00,2024-10-18 14:00:00+00:00,2024-10-18 18:00:00+00:00,short,0.9222222222222223,68174.0,68964.0417689045,395.02088445224945,68964.0417689045,stop,4,-0.011588608104328614,0.0001,0.0022,-0.013688608104328615
2024-10-20 22:00:00+00:00,2024-10-20 23:00:00+00:00,2024-10-21 07:00:00+00:00,short,0.8666666666666667,69132.5,68519.3,251.43089599533465,69635.36179199067,horizon,8,0.008869923697247995,0.0001,0.0014,0.007569923697247995
2024-10-21 13:00:00+00:00,2024-10-21 14:00:00+00:00,2024-10-21 22:00:00+00:00,long,0.9861111111111112,67330.1,67769.9,369.8628780283392,66590.37424394333,horizon,8,0.0065319968335111386,-0.0001,0.0014,0.005031996833511138
2024-10-21 23:00:00+00:00,2024-10-22 00:00:00+00:00,2024-10-22 00:00:00+00:00,long,0.8833333333333333,67368.7,66586.46576060378,391.1171196981093,66586.46576060378,stop,0,-0.011611241413241121,0.0,0.0022,-0.013811241413241122
2024-10-22 01:00:00+00:00,2024-10-22 02:00:00+00:00,2024-10-22 10:00:00+00:00,short,0.8583333333333333,67499.9,67166.8,430.1994552499008,68360.2989104998,horizon,8,0.004934822125662279,0.0001,0.0014,0.0036348221256622794
2024-10-22 12:00:00+00:00,2024-10-22 13:00:00+00:00,2024-10-22 21:00:00+00:00,long,0.8166666666666667,66965.2,67514.1,401.70739947553864,66161.78520104892,horizon,8,0.008196794753095768,-0.0001,0.0014,0.006696794753095769
2024-10-23 08:00:00+00:00,2024-10-23 09:00:00+00:00,2024-10-23 16:00:00+00:00,long,0.8263888888888888,66513.6,65775.96380353846,368.81809823077396,65775.96380353846,stop,7,-0.011090005599780342,0.0,0.0022,-0.013290005599780342
2024-10-23 16:00:00+00:00,2024-10-23 17:00:00+00:00,2024-10-24 01:00:00+00:00,long,0.8430555555555556,65867.4,67246.9,409.5630020659523,65048.27399586809,horizon,8,0.02094359273327929,-0.0001,0.0014,0.01944359273327929
2024-10-24 13:00:00+00:00,2024-10-24 14:00:00+00:00,2024-10-24 21:00:00+00:00,short,0.8736111111111111,67882.7,68673.11218421055,395.20609210527397,68673.11218421055,stop,7,-0.011643794136216627,0.0001,0.0022,-0.013743794136216628
2024-10-25 15:00:00+00:00,2024-10-25 16:00:00+00:00,2024-10-25 17:00:00+00:00,long,0.9583333333333334,67660.6,66748.68142825268,455.9592858736642,66748.68142825268,stop,1,-0.01347783749696766,0.0,0.0022,-0.015677837496967658
